case_id,class,global_min,global_max,global_mean,global_std,global_median,nonzero_frac,bg_frac,p1,p5,p25,p75,p95,p99,edge_mean,edge_std,mid_slice_mean,mid_slice_std,unique_val_count
CT093097,0,-1000.0,-769.0,-995.877685546875,17.948034286499023,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-960.0,-914.0,-1000.0,0.0,-991.0944213867188,26.395984649658203,219
CT087428,0,-1000.0,-769.0,-993.9722900390625,18.57406234741211,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-962.0,-926.0,-1000.0,0.0,-992.2618408203125,20.803157806396484,219
CT092901,0,-1000.0,-769.0,-995.7212524414062,15.549598693847656,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-969.0,-936.0,-999.6898193359375,3.086818218231201,-992.0932006835938,22.325563430786133,227
CT092078,0,-1000.0,-769.0,-995.1233520507812,17.129562377929688,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-963.0,-932.0,-1000.0,0.0,-990.2804565429688,25.223388671875,219
CT092274,0,-1000.0,-769.0,-993.8030395507812,20.134511947631836,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-953.0,-913.0,-998.665283203125,6.301033020019531,-990.0977172851562,25.32938003540039,219
CT094188,0,-1000.0,-769.0,-995.0166625976562,17.420764923095703,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-958.0,-928.0,-1000.0,0.0,-989.9403686523438,25.080886840820312,219
CT087193,0,-1000.0,-769.0,-994.7915649414062,17.970516204833984,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-960.0,-926.0,-1000.0,0.0,-990.06396484375,24.81332015991211,219
CT086723,0,-1000.0,-769.0,-993.931640625,19.04846954345703,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-960.0,-923.0,-999.503662109375,3.4479591846466064,-990.6314086914062,23.452741622924805,219
CT088656,0,-1000.0,-769.0,-994.728271484375,18.796398162841797,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-958.0,-923.0,-1000.0,0.0,-988.9053955078125,25.923816680908203,219
CT092125,0,-1000.0,-769.0,-994.626220703125,18.639934539794922,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-956.0,-922.0,-1000.0,0.0,-990.4275512695312,25.920621871948242,219
CT062002,1,-1511.0,1456.0,-954.3197631835938,172.2716827392578,-1000.0,0.9999,0.0001,-1000.0,-1000.0,-1000.0,-1000.0,-608.0,-21.0,-1000.0,0.0,-918.6326293945312,220.23992919921875,2170
CT020820,1,-1499.0,1972.0,-971.8115234375,98.08587646484375,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-807.0,-538.0,-1000.0,0.0,-957.3565673828125,118.25494384765625,2430
CT018850,1,-1442.0,2069.0,-983.362548828125,78.04319763183594,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-874.0,-646.0,-1000.0,0.0,-966.6513671875,111.72388458251953,2257
CT049814,1,-1483.0,2883.0,-982.3665161132812,84.2641372680664,-1000.0,1.0,0.0,-1004.0,-1000.0,-1000.0,-1000.0,-876.0,-588.0,-1000.0,0.0,-967.7860107421875,112.66693115234375,2477
CT022524,1,-1459.0,2534.0,-977.18115234375,92.50408935546875,-1000.0,1.0,0.0,-1017.0,-1000.0,-1000.0,-1000.0,-839.0,-547.0,-1000.0,0.0,-968.3956909179688,103.89893341064453,2444
