split,group_by,group_value,true_label,count,recall,true1_to_pred2_count,true2_to_pred1_count
val,institution,GZ NO.12 PEOPLE'S HOSPITAL,1,29,0.6206896551724138,9,0
val,institution,GZ No.12 people's hospital,1,1,1.0,0,0
val,institution,HOSPITAL,1,7,0.8571428571428571,0,0
val,institution,GZ NO.12 PEOPLE'S HOSPITAL,2,31,0.3548387096774194,0,19
val,institution,GZ No.12 people's hospital,2,4,1.0,0,0
val,institution,HOSPITAL,2,4,1.0,0,0
val,split_method,cc3d,1,19,0.631578947368421,6,0
val,split_method,midline_fallback,1,15,0.6666666666666666,3,0
val,split_method,morph_cc3d,1,3,1.0,0,0
val,split_method,cc3d,2,15,0.4,0,9
val,split_method,midline_fallback,2,23,0.5217391304347826,0,10
val,split_method,morph_cc3d,2,1,1.0,0,0
test,institution,GZ NO.12 PEOPLE'S HOSPITAL,1,51,0.7647058823529411,11,0
test,institution,GZ No.12 people's hospital,1,4,0.25,2,0
test,institution,HOSPITAL,1,19,0.47368421052631576,9,0
test,institution,GZ NO.12 PEOPLE'S HOSPITAL,2,67,0.3880597014925373,0,36
test,institution,GZ No.12 people's hospital,2,5,0.6,0,1
test,institution,HOSPITAL,2,6,0.16666666666666666,0,4
test,split_method,cc3d,1,41,0.5365853658536586,16,0
test,split_method,midline_fallback,1,27,0.8148148148148148,5,0
test,split_method,morph_cc3d,1,6,0.8333333333333334,1,0
test,split_method,cc3d,2,32,0.40625,0,16
test,split_method,midline_fallback,2,35,0.34285714285714286,0,20
test,split_method,morph_cc3d,2,11,0.45454545454545453,0,5
