split,true_label,column,n,mean,std,min,q1,median,q3,max
all,0,spacing_x,95,0.655078125,0.05246252113233651,0.521484375,0.6162109375,0.65234375,0.6845703125,0.783203125
all,0,spacing_y,95,0.655078125,0.05246252113233651,0.521484375,0.6162109375,0.65234375,0.6845703125,0.783203125
all,0,spacing_z,95,1.0007897226434006,0.0023241378856705868,1.0,1.0,1.0,1.0,1.0125391483306885
all,0,slice_thickness,95,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all,1,spacing_x,111,0.6648741627598668,0.037408264652882856,0.5490000247955322,0.652999997138977,0.6650000214576721,0.6825000047683716,0.75
all,1,spacing_y,111,0.6648741627598668,0.037408264652882856,0.5490000247955322,0.652999997138977,0.6650000214576721,0.6825000047683716,0.75
all,1,spacing_z,111,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all,1,slice_thickness,111,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all,2,spacing_x,117,0.6717144739933503,0.033119024666474844,0.5920000076293945,0.6650000214576721,0.6650000214576721,0.6800000071525574,0.7850000262260437
all,2,spacing_y,117,0.6717144739933503,0.033119024666474844,0.5920000076293945,0.6650000214576721,0.6650000214576721,0.6800000071525574,0.7850000262260437
all,2,spacing_z,117,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all,2,slice_thickness,117,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all,3,spacing_x,105,0.6598680201030913,0.031878898665801,0.5580000281333923,0.6464840173721313,0.6650000214576721,0.6650000214576721,0.7549999952316284
all,3,spacing_y,105,0.6598680201030913,0.031878898665801,0.5580000281333923,0.6464840173721313,0.6650000214576721,0.6650000214576721,0.7549999952316284
all,3,spacing_z,105,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all,3,slice_thickness,105,1.0,0.0,1.0,1.0,1.0,1.0,1.0
val,0,spacing_x,32,0.6458740234375,0.05356745194253374,0.521484375,0.6044921875,0.6494140625,0.67822265625,0.765625
val,0,spacing_y,32,0.6458740234375,0.05356745194253374,0.521484375,0.6044921875,0.6494140625,0.67822265625,0.765625
val,0,spacing_z,32,1.000789362937212,0.002100686253424006,1.0,1.0,1.0,1.0,1.0069444179534912
val,0,slice_thickness,32,1.0,0.0,1.0,1.0,1.0,1.0,1.0
val,1,spacing_x,37,0.6628137665825922,0.04127282844612972,0.5580000281333923,0.6470000147819519,0.6650000214576721,0.6650000214576721,0.75
val,1,spacing_y,37,0.6628137665825922,0.04127282844612972,0.5580000281333923,0.6470000147819519,0.6650000214576721,0.6650000214576721,0.75
val,1,spacing_z,37,1.0,0.0,1.0,1.0,1.0,1.0,1.0
val,1,slice_thickness,37,1.0,0.0,1.0,1.0,1.0,1.0,1.0
val,2,spacing_x,39,0.6700076048190777,0.03537374393184185,0.5920000076293945,0.6650000214576721,0.6650000214576721,0.6784999966621399,0.7850000262260437
val,2,spacing_y,39,0.6700076048190777,0.03537374393184185,0.5920000076293945,0.6650000214576721,0.6650000214576721,0.6784999966621399,0.7850000262260437
val,2,spacing_z,39,1.0,0.0,1.0,1.0,1.0,1.0,1.0
val,2,slice_thickness,39,1.0,0.0,1.0,1.0,1.0,1.0,1.0
val,3,spacing_x,35,0.6624089547566006,0.02793476514175182,0.5820000171661377,0.6606250107288361,0.6650000214576721,0.6674610078334808,0.7207030057907104
val,3,spacing_y,35,0.6624089547566006,0.02793476514175182,0.5820000171661377,0.6606250107288361,0.6650000214576721,0.6674610078334808,0.7207030057907104
val,3,spacing_z,35,1.0,0.0,1.0,1.0,1.0,1.0,1.0
val,3,slice_thickness,35,1.0,0.0,1.0,1.0,1.0,1.0,1.0
test,0,spacing_x,63,0.6597532242063492,0.05126325958446542,0.560546875,0.619140625,0.658203125,0.6904296875,0.783203125
test,0,spacing_y,63,0.6597532242063492,0.05126325958446542,0.560546875,0.619140625,0.658203125,0.6904296875,0.783203125
test,0,spacing_z,63,1.0007899053513059,0.0024297800306376616,1.0,1.0,1.0,1.0,1.0125391483306885
test,0,slice_thickness,63,1.0,0.0,1.0,1.0,1.0,1.0,1.0
test,1,spacing_x,74,0.6659043608485041,0.03527265638186134,0.5490000247955322,0.6650000214576721,0.6650000214576721,0.682750016450882,0.746999979019165
test,1,spacing_y,74,0.6659043608485041,0.03527265638186134,0.5490000247955322,0.6650000214576721,0.6650000214576721,0.682750016450882,0.746999979019165
test,1,spacing_z,74,1.0,0.0,1.0,1.0,1.0,1.0,1.0
test,1,slice_thickness,74,1.0,0.0,1.0,1.0,1.0,1.0,1.0
test,2,spacing_x,78,0.6725679085804865,0.03189778613989588,0.5979999899864197,0.6650000214576721,0.6650000214576721,0.6815000176429749,0.7820000052452087
test,2,spacing_y,78,0.6725679085804865,0.03189778613989588,0.5979999899864197,0.6650000214576721,0.6650000214576721,0.6815000176429749,0.7820000052452087
test,2,spacing_z,78,1.0,0.0,1.0,1.0,1.0,1.0,1.0
test,2,slice_thickness,78,1.0,0.0,1.0,1.0,1.0,1.0,1.0
test,3,spacing_x,70,0.6585975527763367,0.0336062264583387,0.5580000281333923,0.6450192630290985,0.6650000214576721,0.6650000214576721,0.7549999952316284
test,3,spacing_y,70,0.6585975527763367,0.0336062264583387,0.5580000281333923,0.6450192630290985,0.6650000214576721,0.6650000214576721,0.7549999952316284
test,3,spacing_z,70,1.0,0.0,1.0,1.0,1.0,1.0,1.0
test,3,slice_thickness,70,1.0,0.0,1.0,1.0,1.0,1.0,1.0
