objective,strategy,split,thresholds,accuracy,balanced_accuracy,macro_f1,mae,qwk,class1_recall,class2_recall,true1_to_pred2_count,true2_to_pred1_count
default,default_0.5,val,"[0.5, 0.5, 0.5]",0.7062937062937062,0.7192852192852193,0.7225815763052209,0.32867132867132864,0.8263416920553082,0.6756756756756757,0.48717948717948717,9,19
default,default_0.5,test,"[0.5, 0.5, 0.5]",0.6701754385964912,0.6866943866943866,0.6881839830055355,0.3473684210526316,0.8333199195171026,0.6621621621621622,0.38461538461538464,22,41
macro_f1,single_threshold,val,"[0.4, 0.4, 0.4]",0.7132867132867133,0.7256954756954757,0.7293304717586649,0.32167832167832167,0.8293483356774496,0.6756756756756757,0.5128205128205128,9,18
macro_f1,single_threshold,test,"[0.4, 0.4, 0.4]",0.6701754385964912,0.6863478863478862,0.6897813174355136,0.34385964912280703,0.8377986577181208,0.6351351351351351,0.41025641025641024,24,39
macro_f1,per_threshold,val,"[0.05, 0.4, 0.1]",0.7202797202797203,0.7328383328383328,0.7357723577235773,0.3146853146853147,0.8333721743183407,0.6756756756756757,0.5128205128205128,9,18
macro_f1,per_threshold,test,"[0.05, 0.4, 0.1]",0.6666666666666666,0.68497425997426,0.6790013903960301,0.3508771929824561,0.8373878313190518,0.6351351351351351,0.3333333333333333,23,39
balanced_accuracy,single_threshold,val,"[0.4, 0.4, 0.4]",0.7132867132867133,0.7256954756954757,0.7293304717586649,0.32167832167832167,0.8293483356774496,0.6756756756756757,0.5128205128205128,9,18
balanced_accuracy,single_threshold,test,"[0.4, 0.4, 0.4]",0.6701754385964912,0.6863478863478862,0.6897813174355136,0.34385964912280703,0.8377986577181208,0.6351351351351351,0.41025641025641024,24,39
balanced_accuracy,per_threshold,val,"[0.05, 0.4, 0.1]",0.7202797202797203,0.7328383328383328,0.7357723577235773,0.3146853146853147,0.8333721743183407,0.6756756756756757,0.5128205128205128,9,18
balanced_accuracy,per_threshold,test,"[0.05, 0.4, 0.1]",0.6666666666666666,0.68497425997426,0.6790013903960301,0.3508771929824561,0.8373878313190518,0.6351351351351351,0.3333333333333333,23,39
qwk,single_threshold,val,"[0.4, 0.4, 0.4]",0.7132867132867133,0.7256954756954757,0.7293304717586649,0.32167832167832167,0.8293483356774496,0.6756756756756757,0.5128205128205128,9,18
qwk,single_threshold,test,"[0.4, 0.4, 0.4]",0.6701754385964912,0.6863478863478862,0.6897813174355136,0.34385964912280703,0.8377986577181208,0.6351351351351351,0.41025641025641024,24,39
qwk,per_threshold,val,"[0.05, 0.4, 0.1]",0.7202797202797203,0.7328383328383328,0.7357723577235773,0.3146853146853147,0.8333721743183407,0.6756756756756757,0.5128205128205128,9,18
qwk,per_threshold,test,"[0.05, 0.4, 0.1]",0.6666666666666666,0.68497425997426,0.6790013903960301,0.3508771929824561,0.8373878313190518,0.6351351351351351,0.3333333333333333,23,39
mae,single_threshold,val,"[0.4, 0.4, 0.4]",0.7132867132867133,0.7256954756954757,0.7293304717586649,0.32167832167832167,0.8293483356774496,0.6756756756756757,0.5128205128205128,9,18
mae,single_threshold,test,"[0.4, 0.4, 0.4]",0.6701754385964912,0.6863478863478862,0.6897813174355136,0.34385964912280703,0.8377986577181208,0.6351351351351351,0.41025641025641024,24,39
mae,per_threshold,val,"[0.05, 0.4, 0.1]",0.7202797202797203,0.7328383328383328,0.7357723577235773,0.3146853146853147,0.8333721743183407,0.6756756756756757,0.5128205128205128,9,18
mae,per_threshold,test,"[0.05, 0.4, 0.1]",0.6666666666666666,0.68497425997426,0.6790013903960301,0.3508771929824561,0.8373878313190518,0.6351351351351351,0.3333333333333333,23,39
