feature,group_by,label,mean,std,n
burden_soft_ratio,true_label,0,0.43419408798217773,0.00010429079047932045,3
burden_soft_ratio,pred_label_default,0,0.43419408798217773,0.00010429079047932045,3
burden_score_mean,true_label,0,0.23524040480454764,0.0004245444261601212,3
burden_score_mean,pred_label_default,0,0.23524040480454764,0.0004245444261601212,3
burden_topk_mean,true_label,0,0.23787520825862885,0.0007430156107934861,3
burden_topk_mean,pred_label_default,0,0.23787520825862885,0.0007430156107934861,3
burden_score_std,true_label,0,0.001448249095119536,8.918503426421944e-05,3
burden_score_std,pred_label_default,0,0.001448249095119536,8.918503426421944e-05,3
coverage_z_center,true_label,0,0.5218748648961385,0.051161493869910576,3
coverage_z_center,pred_label_default,0,0.5218748648961385,0.051161493869910576,3
coverage_z_spread,true_label,0,0.306903342405955,0.021946270573141576,3
coverage_z_spread,pred_label_default,0,0.306903342405955,0.021946270573141576,3
coverage_active_bins_soft,true_label,0,0.434207558631897,9.019828659006583e-05,3
coverage_active_bins_soft,pred_label_default,0,0.434207558631897,9.019828659006583e-05,3
coverage_instance_score_mean,true_label,0,0.23524040480454764,0.0004245444261601212,3
coverage_instance_score_mean,pred_label_default,0,0.23524040480454764,0.0004245444261601212,3
