objective,strategy,split,thresholds,accuracy,balanced_accuracy,macro_f1,mae,qwk,class1_recall,class2_recall,true1_to_pred2_count,true2_to_pred1_count
default,default_0.5,val,"[0.5, 0.5, 0.5]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
default,default_0.5,test,"[0.5, 0.5, 0.5]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
macro_f1,single_threshold,val,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
macro_f1,single_threshold,test,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
macro_f1,per_threshold,val,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
macro_f1,per_threshold,test,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
balanced_accuracy,single_threshold,val,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
balanced_accuracy,single_threshold,test,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
balanced_accuracy,per_threshold,val,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
balanced_accuracy,per_threshold,test,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
qwk,single_threshold,val,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
qwk,single_threshold,test,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
qwk,per_threshold,val,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
qwk,per_threshold,test,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
mae,single_threshold,val,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
mae,single_threshold,test,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
mae,per_threshold,val,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
mae,per_threshold,test,"[0.05, 0.05, 0.05]",1.0,0.25,0.25,0.0,1.0,0.0,0.0,0,0
